event_date,event_name,ret_-10m_to_+15m,ret_-10m_to_+30m,ret_-10m_to_+60m,ret_event_to_+15m,ret_event_to_+30m,ret_event_to_+60m
2025-06-24,Powell_Testimony_House,0.4322,0.5261,0.5104,0.3123,0.4061,0.3904
2025-08-22,Jackson_Hole,6.7277,6.3237,7.1518,7.1162,6.7107,7.5418
2025-09-23,Economic_Outlook,-0.1338,-0.2184,-0.5163,-0.0045,-0.0892,-0.3875
2025-10-14,NABE,1.2868,1.76,1.4864,0.3993,0.8684,0.5971
