event_date,event_name,event_utc,p_-60m,p_-30m,p_-15m,p_-10m,p_+0m,p_+5m,p_+15m,p_+30m,p_+60m,p_+120m
2025-06-24,Powell_Testimony_House,2025-06-24 14:00,2412.65,2412.47,2417.81,2417.64,2420.53,2427.53,2428.09,2430.36,2429.98,2437.0
2025-08-22,Jackson_Hole,2025-08-22 14:00,4243.34,4258.65,4300.38,4303.98,4288.37,4428.76,4593.54,4576.15,4611.79,4613.93
2025-09-23,Economic_Outlook,2025-09-23 16:35,4185.99,4177.54,4182.52,4185.6,4180.19,4168.78,4180.0,4176.46,4163.99,4162.45
2025-10-14,NABE,2025-10-14 16:20,3963.33,4039.29,4061.18,4063.6,4099.52,4136.81,4115.89,4135.12,4124.0,4120.55
