event_name,group,strategy,side,exit_offset_min,entry_price,exit_price,pnl_pct,pnl_pct_after_fees
Powell_Testimony_House,Powell,strat1_pre_long,long,15,2417.64,2428.09,0.43224,0.33224
Powell_Testimony_House,Powell,strat1_pre_long,long,30,2417.64,2430.36,0.526133,0.426133
Powell_Testimony_House,Powell,strat1_pre_long,long,60,2417.64,2429.98,0.510415,0.410415
Powell_Testimony_House,Powell,strat1_pre_long,long,120,2417.64,2437.0,0.800781,0.700781
Powell_Testimony_House,Powell,strat2_pre_short,short,15,2417.64,2428.09,-0.43224,-0.53224
Powell_Testimony_House,Powell,strat2_pre_short,short,30,2417.64,2430.36,-0.526133,-0.626133
Powell_Testimony_House,Powell,strat2_pre_short,short,60,2417.64,2429.98,-0.510415,-0.610415
Powell_Testimony_House,Powell,strat2_pre_short,short,120,2417.64,2437.0,-0.800781,-0.900781
Jackson_Hole,Powell,strat1_pre_long,long,15,4303.98,4593.54,6.727726,6.627726
Jackson_Hole,Powell,strat1_pre_long,long,30,4303.98,4576.15,6.323682,6.223682
Jackson_Hole,Powell,strat1_pre_long,long,60,4303.98,4611.79,7.151753,7.051753
Jackson_Hole,Powell,strat1_pre_long,long,120,4303.98,4613.93,7.201474,7.101474
Jackson_Hole,Powell,strat2_pre_short,short,15,4303.98,4593.54,-6.727726,-6.827726
Jackson_Hole,Powell,strat2_pre_short,short,30,4303.98,4576.15,-6.323682,-6.423682
Jackson_Hole,Powell,strat2_pre_short,short,60,4303.98,4611.79,-7.151753,-7.251753
Jackson_Hole,Powell,strat2_pre_short,short,120,4303.98,4613.93,-7.201474,-7.301474
Economic_Outlook,Powell,strat1_pre_long,long,15,4185.6,4180.0,-0.133792,-0.233792
Economic_Outlook,Powell,strat1_pre_long,long,30,4185.6,4176.46,-0.218368,-0.318368
Economic_Outlook,Powell,strat1_pre_long,long,60,4185.6,4163.99,-0.516294,-0.616294
Economic_Outlook,Powell,strat1_pre_long,long,120,4185.6,4162.45,-0.553087,-0.653087
Economic_Outlook,Powell,strat2_pre_short,short,15,4185.6,4180.0,0.133792,0.033792
Economic_Outlook,Powell,strat2_pre_short,short,30,4185.6,4176.46,0.218368,0.118368
Economic_Outlook,Powell,strat2_pre_short,short,60,4185.6,4163.99,0.516294,0.416294
Economic_Outlook,Powell,strat2_pre_short,short,120,4185.6,4162.45,0.553087,0.453087
NABE,Powell,strat1_pre_long,long,15,4063.6,4115.89,1.28679,1.18679
NABE,Powell,strat1_pre_long,long,30,4063.6,4135.12,1.760016,1.660016
NABE,Powell,strat1_pre_long,long,60,4063.6,4124.0,1.486367,1.386367
NABE,Powell,strat1_pre_long,long,120,4063.6,4120.55,1.401467,1.301467
NABE,Powell,strat2_pre_short,short,15,4063.6,4115.89,-1.28679,-1.38679
NABE,Powell,strat2_pre_short,short,30,4063.6,4135.12,-1.760016,-1.860016
NABE,Powell,strat2_pre_short,short,60,4063.6,4124.0,-1.486367,-1.586367
NABE,Powell,strat2_pre_short,short,120,4063.6,4120.55,-1.401467,-1.501467
NFP_Dec2024,NFP,strat1_pre_long,long,15,3304.47,3245.16,-1.794842,-1.894842
NFP_Dec2024,NFP,strat1_pre_long,long,30,3304.47,3243.14,-1.855971,-1.955971
NFP_Dec2024,NFP,strat1_pre_long,long,60,3304.47,3268.88,-1.077026,-1.177026
NFP_Dec2024,NFP,strat1_pre_long,long,120,3304.47,3229.43,-2.270863,-2.370863
NFP_Dec2024,NFP,strat2_pre_short,short,15,3304.47,3245.16,1.794842,1.694842
NFP_Dec2024,NFP,strat2_pre_short,short,30,3304.47,3243.14,1.855971,1.755971
NFP_Dec2024,NFP,strat2_pre_short,short,60,3304.47,3268.88,1.077026,0.977026
NFP_Dec2024,NFP,strat2_pre_short,short,120,3304.47,3229.43,2.270863,2.170863
NFP_Jan2025,NFP,strat1_pre_long,long,15,2745.69,2761.1,0.561243,0.461243
NFP_Jan2025,NFP,strat1_pre_long,long,30,2745.69,2774.32,1.042725,0.942725
NFP_Jan2025,NFP,strat1_pre_long,long,60,2745.69,2789.29,1.587943,1.487943
NFP_Jan2025,NFP,strat1_pre_long,long,120,2745.69,2739.16,-0.237827,-0.337827
NFP_Jan2025,NFP,strat2_pre_short,short,15,2745.69,2761.1,-0.561243,-0.661243
NFP_Jan2025,NFP,strat2_pre_short,short,30,2745.69,2774.32,-1.042725,-1.142725
NFP_Jan2025,NFP,strat2_pre_short,short,60,2745.69,2789.29,-1.587943,-1.687943
NFP_Jan2025,NFP,strat2_pre_short,short,120,2745.69,2739.16,0.237827,0.137827
NFP_Feb2025,NFP,strat1_pre_long,long,15,2184.17,2211.89,1.269132,1.169132
NFP_Feb2025,NFP,strat1_pre_long,long,30,2184.17,2187.56,0.155208,0.055208
NFP_Feb2025,NFP,strat1_pre_long,long,60,2184.17,2183.98,-0.008699,-0.108699
NFP_Feb2025,NFP,strat1_pre_long,long,120,2184.17,2209.72,1.169781,1.069781
NFP_Feb2025,NFP,strat2_pre_short,short,15,2184.17,2211.89,-1.269132,-1.369132
NFP_Feb2025,NFP,strat2_pre_short,short,30,2184.17,2187.56,-0.155208,-0.255208
NFP_Feb2025,NFP,strat2_pre_short,short,60,2184.17,2183.98,0.008699,-0.091301
NFP_Feb2025,NFP,strat2_pre_short,short,120,2184.17,2209.72,-1.169781,-1.269781
NFP_Mar2025,NFP,strat1_pre_long,long,15,1776.7,1780.31,0.203186,0.103186
NFP_Mar2025,NFP,strat1_pre_long,long,30,1776.7,1788.1,0.641639,0.541639
