group,tp_pct,sl_pct,n,mean,median,win_rate,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser,mean_raw
ALL,0.5,1.5,15,-0.1557,-0.3596,0.4667,Jackson_Hole,0.8,Powell_Testimony_House,-1.2,-0.224,-0.0812,0.0443
ALL,0.5,2.0,15,-0.1457,-0.3596,0.4667,Jackson_Hole,0.8,NABE,-1.7,-0.2133,-0.0347,0.0543
ALL,1.0,0.5,15,-0.2216,0.3,0.6,Powell_Testimony_House,0.3,Jackson_Hole,-1.2,-0.2588,-0.1517,-0.0216
ALL,1.0,1.0,15,-0.2,-0.2,0.0,Powell_Testimony_House,-0.2,Powell_Testimony_House,-0.2,-0.2,-0.2,0.0
ALL,1.0,1.5,15,-0.1106,-0.7,0.2667,NFP_Jun2025,1.8,Powell_Testimony_House,-0.7,-0.2471,-0.0685,0.0894
ALL,1.0,2.0,15,-0.034,-0.2,0.4,NFP_Jan2025,1.8,Jackson_Hole,-1.2,-0.165,0.0493,0.166
ALL,1.5,0.5,15,-0.2443,-0.0404,0.4,Powell_Testimony_House,0.8,Jackson_Hole,-1.2,-0.3188,-0.176,-0.0443
ALL,1.5,1.0,15,-0.2894,0.3,0.6667,Powell_Testimony_House,0.3,NFP_Jun2025,-2.2,-0.3315,-0.1529,-0.0894
ALL,1.5,1.5,15,-0.2,-0.2,0.0,Powell_Testimony_House,-0.2,Powell_Testimony_House,-0.2,-0.2,-0.2,0.0
ALL,1.5,2.0,15,-0.2534,-0.7,0.2667,NFP_Jan2025,1.3488,Jackson_Hole,-0.7,-0.3678,-0.2215,-0.0534
ALL,2.0,0.5,15,-0.2543,-0.0404,0.4,NABE,1.3,Jackson_Hole,-1.2,-0.3653,-0.1867,-0.0543
ALL,2.0,1.0,15,-0.366,-0.2,0.4,Jackson_Hole,0.8,NFP_Jan2025,-2.2,-0.4493,-0.235,-0.166
ALL,2.0,1.5,15,-0.1466,0.3,0.5333,Jackson_Hole,0.3,NFP_Jan2025,-1.7488,-0.1785,-0.0322,0.0534
ALL,2.0,2.0,15,-0.2,-0.2,0.0,Powell_Testimony_House,-0.2,Powell_Testimony_House,-0.2,-0.2,-0.2,0.0
ALL,3.0,0.5,15,-0.2876,-1.2,0.3333,NFP_Dec2024,2.3,Jackson_Hole,-1.2,-0.4724,-0.2224,-0.0876
ALL,3.0,1.0,15,-0.3792,-0.2789,0.3333,Jackson_Hole,1.8,NFP_Jan2025,-2.2,-0.5349,-0.2491,-0.1792
ALL,3.0,1.5,15,-0.1927,-0.2385,0.2667,Jackson_Hole,1.3,NFP_Jan2025,-1.7488,-0.2993,-0.0815,0.0073
ALL,3.0,2.0,15,-0.2461,-0.2,0.2667,Jackson_Hole,0.8,NFP_Jul2025,-2.2343,-0.3208,-0.1041,-0.0461
