event_name,tp_pct,sl_pct,long_exit_reason,short_exit_reason,first_side_to_hit,long_pnl_pct,short_pnl_pct,combined_pnl_pct,combined_pnl_pct_after_fees,long_mfe_pct,long_mae_pct,short_mfe_pct,short_mae_pct,ambiguous_bar,group
Economic_Outlook,0.5,1.5,timeout,tp,short,-0.659643,0.5,-0.159643,-0.359643,0.48643,-1.201261,0.556193,-0.142632,False,Powell
Economic_Outlook,0.5,2.0,timeout,tp,short,-0.659643,0.5,-0.159643,-0.359643,0.48643,-1.201261,0.556193,-0.142632,False,Powell
Economic_Outlook,1.0,0.5,sl,tp,short,-0.5,1.0,0.5,0.3,0.142632,-0.556193,1.005591,-0.48643,False,Powell
Economic_Outlook,1.0,1.0,sl,tp,short,-1.0,1.0,0.0,-0.2,0.48643,-1.005591,1.005591,-0.48643,False,Powell
Economic_Outlook,1.0,1.5,timeout,tp,short,-0.659643,1.0,0.340357,0.140357,0.48643,-1.201261,1.005591,-0.48643,False,Powell
Economic_Outlook,1.0,2.0,timeout,tp,short,-0.659643,1.0,0.340357,0.140357,0.48643,-1.201261,1.005591,-0.48643,False,Powell
Economic_Outlook,1.5,0.5,sl,timeout,none,-0.5,0.659643,0.159643,-0.040357,0.142632,-0.556193,1.201261,-0.48643,False,Powell
Economic_Outlook,1.5,1.0,sl,timeout,none,-1.0,0.659643,-0.340357,-0.540357,0.48643,-1.005591,1.201261,-0.48643,False,Powell
Economic_Outlook,1.5,1.5,timeout,timeout,none,-0.659643,0.659643,0.0,-0.2,0.48643,-1.201261,1.201261,-0.48643,False,Powell
Economic_Outlook,1.5,2.0,timeout,timeout,none,-0.659643,0.659643,0.0,-0.2,0.48643,-1.201261,1.201261,-0.48643,False,Powell
Economic_Outlook,2.0,0.5,sl,timeout,none,-0.5,0.659643,0.159643,-0.040357,0.142632,-0.556193,1.201261,-0.48643,False,Powell
Economic_Outlook,2.0,1.0,sl,timeout,none,-1.0,0.659643,-0.340357,-0.540357,0.48643,-1.005591,1.201261,-0.48643,False,Powell
Economic_Outlook,2.0,1.5,timeout,timeout,none,-0.659643,0.659643,0.0,-0.2,0.48643,-1.201261,1.201261,-0.48643,False,Powell
Economic_Outlook,2.0,2.0,timeout,timeout,none,-0.659643,0.659643,0.0,-0.2,0.48643,-1.201261,1.201261,-0.48643,False,Powell
Economic_Outlook,3.0,0.5,sl,timeout,none,-0.5,0.659643,0.159643,-0.040357,0.142632,-0.556193,1.201261,-0.48643,False,Powell
Economic_Outlook,3.0,1.0,sl,timeout,none,-1.0,0.659643,-0.340357,-0.540357,0.48643,-1.005591,1.201261,-0.48643,False,Powell
Economic_Outlook,3.0,1.5,timeout,timeout,none,-0.659643,0.659643,0.0,-0.2,0.48643,-1.201261,1.201261,-0.48643,False,Powell
Economic_Outlook,3.0,2.0,timeout,timeout,none,-0.659643,0.659643,0.0,-0.2,0.48643,-1.201261,1.201261,-0.48643,False,Powell
NABE,0.5,0.5,tp,sl,long,0.5,-0.5,0.0,-0.2,0.566001,-0.048725,0.048725,-0.566001,False,Powell
NABE,0.5,1.0,tp,sl,long,0.5,-1.0,-0.5,-0.7,0.566001,-0.048725,0.048725,-1.159809,False,Powell
NABE,0.5,1.5,tp,sl,long,0.5,-1.5,-1.0,-1.2,0.566001,-0.048725,0.048725,-2.452259,False,Powell
NABE,0.5,2.0,tp,sl,long,0.5,-2.0,-1.5,-1.7,0.566001,-0.048725,0.048725,-2.452259,False,Powell
NABE,1.0,0.5,tp,sl,long,1.0,-0.5,0.5,0.3,1.159809,-0.048725,0.048725,-0.566001,False,Powell
NABE,1.0,1.0,tp,sl,long,1.0,-1.0,0.0,-0.2,1.159809,-0.048725,0.048725,-1.159809,False,Powell
NABE,1.0,1.5,tp,sl,long,1.0,-1.5,-0.5,-0.7,1.159809,-0.048725,0.048725,-2.452259,False,Powell
NABE,1.0,2.0,tp,sl,long,1.0,-2.0,-1.0,-1.2,1.159809,-0.048725,0.048725,-2.452259,False,Powell
NABE,1.5,0.5,tp,sl,long,1.5,-0.5,1.0,0.8,2.452259,-0.048725,0.048725,-0.566001,False,Powell
NABE,1.5,1.0,tp,sl,long,1.5,-1.0,0.5,0.3,2.452259,-0.048725,0.048725,-1.159809,False,Powell
NABE,1.5,1.5,tp,sl,long,1.5,-1.5,0.0,-0.2,2.452259,-0.048725,0.048725,-2.452259,False,Powell
NABE,1.5,2.0,tp,sl,long,1.5,-2.0,-0.5,-0.7,2.452259,-0.048725,0.048725,-2.452259,False,Powell
NABE,2.0,0.5,tp,sl,long,2.0,-0.5,1.5,1.3,2.452259,-0.048725,0.048725,-0.566001,False,Powell
NABE,2.0,1.0,tp,sl,long,2.0,-1.0,1.0,0.8,2.452259,-0.048725,0.048725,-1.159809,False,Powell
NABE,2.0,1.5,tp,sl,long,2.0,-1.5,0.5,0.3,2.452259,-0.048725,0.048725,-2.452259,False,Powell
NABE,2.0,2.0,tp,sl,long,2.0,-2.0,0.0,-0.2,2.452259,-0.048725,0.048725,-2.452259,False,Powell
NABE,3.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.2,2.452259,-0.511123,0.048725,-0.566001,False,Powell
NABE,3.0,1.0,timeout,sl,none,1.461512,-1.0,0.461512,0.261512,2.452259,-0.511123,0.048725,-1.159809,False,Powell
NABE,3.0,1.5,timeout,sl,none,1.461512,-1.5,-0.038488,-0.238488,2.452259,-0.511123,0.048725,-2.452259,False,Powell
NABE,3.0,2.0,timeout,sl,none,1.461512,-2.0,-0.538488,-0.738488,2.452259,-0.511123,0.048725,-2.452259,False,Powell
NFP_Dec2024,0.5,0.5,sl,tp,short,-0.5,0.5,0.0,-0.2,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,0.5,1.0,sl,tp,short,-1.0,0.5,-0.5,-0.7,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,0.5,1.5,sl,tp,short,-1.5,0.5,-1.0,-1.2,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,0.5,2.0,sl,tp,short,-2.0,0.5,-1.5,-1.7,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,1.0,0.5,sl,tp,short,-0.5,1.0,0.5,0.3,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,1.0,1.0,sl,tp,short,-1.0,1.0,0.0,-0.2,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,1.0,1.5,sl,tp,short,-1.5,1.0,-0.5,-0.7,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,1.0,2.0,sl,tp,short,-2.0,1.0,-1.0,-1.2,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,1.5,0.5,sl,tp,short,-0.5,1.5,1.0,0.8,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,1.5,1.0,sl,tp,short,-1.0,1.5,0.5,0.3,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,1.5,1.5,sl,tp,short,-1.5,1.5,0.0,-0.2,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,1.5,2.0,sl,tp,short,-2.0,1.5,-0.5,-0.7,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,2.0,0.5,sl,tp,short,-0.5,2.0,1.5,1.3,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,2.0,1.0,sl,tp,short,-1.0,2.0,1.0,0.8,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,2.0,1.5,sl,tp,short,-1.5,2.0,0.5,0.3,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,2.0,2.0,sl,tp,short,-2.0,2.0,0.0,-0.2,0.128008,-2.556234,2.556234,-0.128008,False,NFP
NFP_Dec2024,3.0,0.5,sl,tp,short,-0.5,3.0,2.5,2.3,0.128008,-2.556234,3.116687,-0.128008,False,NFP
NFP_Dec2024,3.0,1.0,sl,tp,short,-1.0,3.0,2.0,1.8,0.128008,-2.556234,3.116687,-0.128008,False,NFP
NFP_Dec2024,3.0,1.5,sl,tp,short,-1.5,3.0,1.5,1.3,0.128008,-2.556234,3.116687,-0.128008,False,NFP
NFP_Dec2024,3.0,2.0,sl,tp,short,-2.0,3.0,1.0,0.8,0.128008,-2.556234,3.116687,-0.128008,False,NFP
NFP_Jan2025,0.5,0.5,sl,tp,short,-0.5,0.5,0.0,-0.2,0.030593,-0.563793,0.563793,-0.030593,False,NFP
NFP_Jan2025,0.5,1.0,tp,tp,short,0.5,0.5,1.0,0.8,0.874097,-0.563793,0.563793,-0.030593,False,NFP
NFP_Jan2025,0.5,1.5,tp,tp,short,0.5,0.5,1.0,0.8,0.874097,-0.563793,0.563793,-0.030593,False,NFP
NFP_Jan2025,0.5,2.0,tp,tp,short,0.5,0.5,1.0,0.8,0.874097,-0.563793,0.563793,-0.030593,False,NFP
NFP_Jan2025,1.0,0.5,sl,sl,long,-0.5,-0.5,-1.0,-1.2,0.030593,-0.563793,0.563793,-0.874097,False,NFP
NFP_Jan2025,1.0,1.0,tp,sl,long,1.0,-1.0,0.0,-0.2,1.039447,-0.935648,0.935648,-1.039447,False,NFP
NFP_Jan2025,1.0,1.5,tp,sl,long,1.0,-1.5,-0.5,-0.7,1.039447,-0.935648,0.935648,-1.547516,False,NFP
NFP_Jan2025,1.0,2.0,tp,tp,long,1.0,1.0,2.0,1.8,1.039447,-0.935648,1.117752,-1.836697,False,NFP
NFP_Jan2025,1.5,0.5,sl,sl,long,-0.5,-0.5,-1.0,-1.2,0.030593,-0.563793,0.563793,-0.874097,False,NFP
NFP_Jan2025,1.5,1.0,tp,sl,long,1.5,-1.0,0.5,0.3,1.547516,-0.935648,0.935648,-1.039447,False,NFP
NFP_Jan2025,1.5,1.5,tp,sl,long,1.5,-1.5,0.0,-0.2,1.547516,-0.935648,0.935648,-1.547516,False,NFP
NFP_Jan2025,1.5,2.0,tp,timeout,long,1.5,0.048804,1.548804,1.348804,1.547516,-0.935648,1.13232,-1.836697,False,NFP
NFP_Jan2025,2.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.2,0.030593,-0.563793,0.563793,-0.874097,False,NFP
NFP_Jan2025,2.0,1.0,sl,sl,none,-1.0,-1.0,-2.0,-2.2,1.836697,-1.117752,0.935648,-1.039447,False,NFP
NFP_Jan2025,2.0,1.5,timeout,sl,none,-0.048804,-1.5,-1.548804,-1.748804,1.836697,-1.13232,0.935648,-1.547516,False,NFP
NFP_Jan2025,2.0,2.0,timeout,timeout,none,-0.048804,0.048804,0.0,-0.2,1.836697,-1.13232,1.13232,-1.836697,False,NFP
NFP_Jan2025,3.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.2,0.030593,-0.563793,0.563793,-0.874097,False,NFP
NFP_Jan2025,3.0,1.0,sl,sl,none,-1.0,-1.0,-2.0,-2.2,1.836697,-1.117752,0.935648,-1.039447,False,NFP
NFP_Jan2025,3.0,1.5,timeout,sl,none,-0.048804,-1.5,-1.548804,-1.748804,1.836697,-1.13232,0.935648,-1.547516,False,NFP
NFP_Jan2025,3.0,2.0,timeout,timeout,none,-0.048804,0.048804,0.0,-0.2,1.836697,-1.13232,1.13232,-1.836697,False,NFP
NFP_Feb2025,0.5,0.5,tp,sl,long,0.5,-0.5,0.0,-0.2,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,0.5,1.0,tp,sl,long,0.5,-1.0,-0.5,-0.7,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,0.5,1.5,tp,sl,long,0.5,-1.5,-1.0,-1.2,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,0.5,2.0,tp,sl,long,0.5,-2.0,-1.5,-1.7,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,1.0,0.5,tp,sl,long,1.0,-0.5,0.5,0.3,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,1.0,1.0,tp,sl,long,1.0,-1.0,0.0,-0.2,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,1.0,1.5,tp,sl,long,1.0,-1.5,-0.5,-0.7,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,1.0,2.0,tp,sl,long,1.0,-2.0,-1.0,-1.2,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,1.5,0.5,tp,sl,long,1.5,-0.5,1.0,0.8,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,1.5,1.0,tp,sl,long,1.5,-1.0,0.5,0.3,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,1.5,1.5,tp,sl,long,1.5,-1.5,0.0,-0.2,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,1.5,2.0,tp,sl,long,1.5,-2.0,-0.5,-0.7,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,2.0,0.5,tp,sl,long,2.0,-0.5,1.5,1.3,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,2.0,1.0,tp,sl,long,2.0,-1.0,1.0,0.8,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,2.0,1.5,tp,sl,long,2.0,-1.5,0.5,0.3,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,2.0,2.0,tp,sl,long,2.0,-2.0,0.0,-0.2,2.052496,-0.109424,0.109424,-2.052496,False,NFP
NFP_Feb2025,3.0,0.5,tp,sl,long,3.0,-0.5,2.5,2.3,3.441582,-0.390537,0.109424,-2.052496,False,NFP
NFP_Feb2025,3.0,1.0,tp,sl,long,3.0,-1.0,2.0,1.8,3.441582,-0.390537,0.109424,-2.052496,False,NFP
NFP_Feb2025,3.0,1.5,tp,sl,long,3.0,-1.5,1.5,1.3,3.441582,-0.390537,0.109424,-2.052496,False,NFP
NFP_Feb2025,3.0,2.0,tp,sl,long,3.0,-2.0,1.0,0.8,3.441582,-0.390537,0.109424,-2.052496,False,NFP
NFP_Mar2025,0.5,0.5,tp,sl,long,0.5,-0.5,0.0,-0.2,1.423988,-0.218945,0.218945,-1.423988,False,NFP
NFP_Mar2025,0.5,1.0,tp,sl,long,0.5,-1.0,-0.5,-0.7,1.423988,-0.218945,0.218945,-1.423988,False,NFP
NFP_Mar2025,0.5,1.5,tp,sl,long,0.5,-1.5,-1.0,-1.2,1.423988,-0.218945,0.45759,-1.503912,False,NFP
NFP_Mar2025,0.5,2.0,tp,timeout,long,0.5,-0.748016,-0.248016,-0.448016,1.423988,-0.218945,0.45759,-1.787021,False,NFP
