event_name,event_utc,pre_event_drift_-60_to_event,immediate_reaction_event_to_+15,post_event_continuation_+15_to_+60,full_event_move_-10_to_+60
Powell_Testimony_House,2025-06-24 14:00,0.3266,0.3123,0.0778,0.5104
Jackson_Hole,2025-08-22 14:00,1.0612,7.1162,0.3973,7.1518
Economic_Outlook,2025-09-23 16:35,-0.1386,-0.0045,-0.383,-0.5163
NABE,2025-10-14 16:20,3.4363,0.3993,0.197,1.4864
