event_type,strategy,config,n,mean_raw,median_raw,win_rate_raw,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser,mean_afterfees,win_rate_afterfees,realized_max_dd_raw_pct
PPI,momentum_entry+1m,exit+15m,10,0.0759,0.0076,0.5,PPI_Jul2025,1.2795,PPI_Sep2025_Delayed,-0.9345,-0.0578,0.1882,-0.0241,0.4,-0.9281
PPI,momentum_entry+1m,exit+30m,10,-0.0256,-0.1866,0.2,PPI_Jul2025,2.3216,PPI_Sep2025_Delayed,-0.7816,-0.2864,0.0584,-0.1256,0.2,-1.7488
PPI,momentum_entry+1m,exit+60m,10,0.1787,-0.0874,0.4,PPI_Jul2025,3.1012,PPI_Sep2025_Delayed,-0.9734,-0.146,0.3067,0.0787,0.3,-1.2586
ALL,momentum_entry+1m,exit+5m,21,0.0811,0.0962,0.5714,PPI_Jul2025,1.5343,CPI_Mar2025,-0.8506,0.0084,0.1277,-0.0189,0.4762,-1.7128
ALL,momentum_entry+1m,exit+15m,21,0.0536,0.0246,0.5238,PPI_Jul2025,1.2795,CPI_Mar2025,-1.1617,-0.0077,0.1144,-0.0464,0.4762,-2.2325
ALL,momentum_entry+1m,exit+30m,21,0.1407,-0.1237,0.4286,PPI_Jul2025,2.3216,CPI_Mar2025,-1.4487,0.0316,0.2202,0.0407,0.4286,-2.8295
ALL,momentum_entry+1m,exit+60m,21,0.3314,0.0831,0.5238,PPI_Jul2025,3.1012,CPI_Feb2025,-1.6089,0.1929,0.4284,0.2314,0.4762,-3.2383
CPI,straddle,TP0.5/SL0.5,11,0.0,0.0,0.0,CPI_Dec2024,0.0,CPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
CPI,straddle,TP0.5/SL1.0,11,-0.2273,-0.5,0.1818,CPI_Jan2025,1.0,CPI_Dec2024,-0.5,-0.35,-0.2,-0.4273,0.1818,-2.9851
CPI,straddle,TP0.5/SL1.5,11,-0.6364,-1.0,0.1818,CPI_Jan2025,1.0,CPI_Dec2024,-1.0,-0.8,-0.6,-0.8364,0.1818,-7.0
CPI,straddle,TP0.5/SL2.0,11,-0.5909,-1.5,0.3636,CPI_Jan2025,1.0,CPI_Dec2024,-1.5,-0.75,-0.5,-0.7909,0.3636,-7.8818
CPI,straddle,TP1.0/SL0.5,11,0.2273,0.5,0.8182,CPI_Dec2024,0.5,CPI_Jan2025,-1.0,0.2,0.35,0.0273,0.8182,-0.995
CPI,straddle,TP1.0/SL1.0,11,0.0,0.0,0.0,CPI_Dec2024,0.0,CPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
CPI,straddle,TP1.0/SL1.5,11,-0.5,-0.5,0.0,CPI_Dec2024,-0.5,CPI_Dec2024,-0.5,-0.5,-0.5,-0.7,0.0,-5.5
CPI,straddle,TP1.0/SL2.0,11,-0.4545,-1.0,0.1818,CPI_Feb2025,2.0,CPI_Dec2024,-1.0,-0.7,-0.4,-0.6545,0.1818,-6.8627
CPI,straddle,TP1.5/SL0.5,11,0.6364,1.0,0.8182,CPI_Dec2024,1.0,CPI_Jan2025,-1.0,0.6,0.8,0.4364,0.8182,-0.9901
CPI,straddle,TP1.5/SL1.0,11,0.5,0.5,1.0,CPI_Dec2024,0.5,CPI_Dec2024,0.5,0.5,0.5,0.3,1.0,0.0
CPI,straddle,TP1.5/SL1.5,11,0.0,0.0,0.0,CPI_Dec2024,0.0,CPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
CPI,straddle,TP1.5/SL2.0,11,0.1364,-0.5,0.1818,CPI_Feb2025,3.0,CPI_Dec2024,-0.5,-0.15,0.2,-0.0636,0.1818,-3.3333
CPI,straddle,TP2.0/SL0.5,11,0.5909,1.5,0.6364,CPI_Dec2024,1.5,CPI_Jan2025,-1.0,0.5,0.75,0.3909,0.6364,-2.9557
CPI,straddle,TP2.0/SL1.0,11,0.4545,1.0,0.8182,CPI_Dec2024,1.0,CPI_Feb2025,-2.0,0.4,0.7,0.2545,0.8182,-3.9216
CPI,straddle,TP2.0/SL1.5,11,-0.1364,0.5,0.8182,CPI_Dec2024,0.5,CPI_Feb2025,-3.0,-0.2,0.15,-0.3364,0.8182,-5.9406
CPI,straddle,TP2.0/SL2.0,11,0.0,0.0,0.0,CPI_Dec2024,0.0,CPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
CPI,straddle,TP3.0/SL0.5,11,0.7669,1.4689,0.5455,CPI_Dec2024,2.5,CPI_Jan2025,-1.0,0.5936,0.9436,0.5669,0.5455,-2.9268
CPI,straddle,TP3.0/SL1.0,11,0.5653,1.467,0.6364,CPI_Dec2024,2.0,CPI_Feb2025,-2.0,0.4218,0.8218,0.3653,0.6364,-3.8462
CPI,straddle,TP3.0/SL1.5,11,-0.0381,0.967,0.6364,CPI_Dec2024,1.5,CPI_Feb2025,-3.0,-0.1919,0.2581,-0.2381,0.6364,-5.8252
CPI,straddle,TP3.0/SL2.0,11,0.0643,0.467,0.5455,CPI_Dec2024,1.0,CPI_Sep2025_Delayed,-3.1372,-0.0293,0.3845,-0.1357,0.5455,-4.1848
PPI,straddle,TP0.5/SL0.5,10,0.0,0.0,0.0,PPI_Dec2024,0.0,PPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
PPI,straddle,TP0.5/SL1.0,10,-0.2,-0.5,0.2,PPI_Jan2025,1.0,PPI_Dec2024,-0.5,-0.3333,-0.1667,-0.4,0.2,-2.9703
PPI,straddle,TP0.5/SL1.5,10,-0.2,-1.0,0.4,PPI_Jan2025,1.0,PPI_Dec2024,-1.0,-0.3333,-0.1111,-0.4,0.4,-4.8544
PPI,straddle,TP0.5/SL2.0,10,-0.2898,-0.4489,0.4,PPI_Jan2025,1.0,PPI_Jun2025,-1.5,-0.4331,-0.1553,-0.4898,0.4,-6.5872
PPI,straddle,TP1.0/SL0.5,10,0.2,0.5,0.8,PPI_Dec2024,0.5,PPI_Jan2025,-1.0,0.1667,0.3333,0.0,0.8,-1.4925
PPI,straddle,TP1.0/SL1.0,10,0.0,0.0,0.0,PPI_Dec2024,0.0,PPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
PPI,straddle,TP1.0/SL1.5,10,0.25,-0.5,0.3,PPI_Feb2025,2.0,PPI_Dec2024,-0.5,0.0556,0.3333,0.05,0.3,-2.381
PPI,straddle,TP1.0/SL2.0,10,0.2256,-0.0966,0.5,PPI_Feb2025,2.0,PPI_Jun2025,-1.0,0.0285,0.3618,0.0256,0.4,-4.0781
PPI,straddle,TP1.5/SL0.5,10,0.2,1.0,0.6,PPI_Dec2024,1.0,PPI_Jan2025,-1.0,0.1111,0.3333,0.0,0.6,-3.9604
PPI,straddle,TP1.5/SL1.0,10,-0.25,0.5,0.7,PPI_Dec2024,0.5,PPI_Feb2025,-2.0,-0.3333,-0.0556,-0.45,0.7,-5.9406
PPI,straddle,TP1.5/SL1.5,10,0.0,0.0,0.0,PPI_Dec2024,0.0,PPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
PPI,straddle,TP1.5/SL2.0,10,0.0919,0.0763,0.5,PPI_Dec2024,0.9495,PPI_Jun2025,-0.5,-0.0034,0.1576,-0.1081,0.4,-1.9433
PPI,straddle,TP2.0/SL0.5,10,0.2898,0.4489,0.6,PPI_Jun2025,1.5,PPI_Jan2025,-1.0,0.1553,0.4331,0.0898,0.5,-3.998
PPI,straddle,TP2.0/SL1.0,10,-0.2256,0.0966,0.5,PPI_Jun2025,1.0,PPI_Feb2025,-2.0,-0.3618,-0.0285,-0.4256,0.5,-6.6038
PPI,straddle,TP2.0/SL1.5,10,-0.0919,-0.0763,0.4,PPI_Jun2025,0.5,PPI_Dec2024,-0.9495,-0.1576,0.0034,-0.2919,0.4,-2.9187
PPI,straddle,TP2.0/SL2.0,10,0.0,0.0,0.0,PPI_Dec2024,0.0,PPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
PPI,straddle,TP3.0/SL0.5,10,0.3345,0.3331,0.6,PPI_Jul2025,2.5,PPI_Jan2025,-1.0,0.0939,0.4828,0.1345,0.5,-3.998
PPI,straddle,TP3.0/SL1.0,10,-0.1809,-0.0192,0.5,PPI_Jul2025,2.0,PPI_Feb2025,-2.0,-0.4232,0.0212,-0.3809,0.4,-6.6038
