datetime_utc,open,high,low,close,volume,num_trades
2025-09-10 11:30:00,4327.51,4327.85,4326.05,4326.06,728.913,0
2025-09-10 11:31:00,4326.05,4326.75,4324.89,4324.89,578.265,0
2025-09-10 11:32:00,4324.89,4326.48,4324.89,4326.08,466.493,0
2025-09-10 11:33:00,4326.08,4326.9,4324.89,4326.9,1194.554,0
2025-09-10 11:34:00,4326.89,4327.96,4326.53,4326.53,442.533,0
2025-09-10 11:35:00,4326.53,4327.12,4325.5,4327.11,447.092,0
2025-09-10 11:36:00,4327.11,4328.0,4325.25,4327.32,575.603,0
2025-09-10 11:37:00,4327.32,4327.34,4325.56,4325.8,297.581,0
2025-09-10 11:38:00,4325.8,4326.26,4325.23,4325.45,971.085,0
2025-09-10 11:39:00,4325.45,4327.83,4325.33,4325.33,712.133,0
2025-09-10 11:40:00,4325.34,4325.64,4323.88,4325.41,1298.341,0
2025-09-10 11:41:00,4325.42,4325.42,4323.01,4323.98,1233.84,0
2025-09-10 11:42:00,4323.98,4323.98,4320.13,4323.55,2566.296,0
2025-09-10 11:43:00,4323.55,4325.0,4321.5,4321.9,2060.82,0
2025-09-10 11:44:00,4321.93,4323.39,4321.68,4322.89,1162.096,0
2025-09-10 11:45:00,4322.88,4323.81,4321.61,4323.81,3156.406,0
2025-09-10 11:46:00,4323.8,4324.0,4322.56,4324.0,468.545,0
2025-09-10 11:47:00,4324.0,4325.54,4322.48,4325.53,915.542,0
2025-09-10 11:48:00,4325.54,4326.83,4325.53,4325.62,686.778,0
2025-09-10 11:49:00,4325.63,4327.15,4325.62,4326.01,479.536,0
2025-09-10 11:50:00,4326.01,4327.69,4326.01,4327.15,682.98,0
2025-09-10 11:51:00,4327.15,4327.4,4326.19,4327.38,809.117,0
2025-09-10 11:52:00,4327.38,4328.0,4327.03,4327.93,559.235,0
2025-09-10 11:53:00,4327.93,4328.0,4326.87,4326.99,490.007,0
2025-09-10 11:54:00,4326.99,4327.31,4326.6,4327.31,388.098,0
2025-09-10 11:55:00,4327.31,4328.9,4327.3,4328.89,1031.91,0
2025-09-10 11:56:00,4328.89,4329.28,4327.39,4327.39,695.42,0
2025-09-10 11:57:00,4327.4,4329.22,4327.39,4329.22,562.333,0
2025-09-10 11:58:00,4329.21,4329.22,4328.6,4328.6,319.982,0
2025-09-10 11:59:00,4328.6,4329.58,4328.6,4329.58,741.014,0
2025-09-10 12:00:00,4329.58,4330.61,4328.0,4329.21,4058.582,0
2025-09-10 12:01:00,4329.2,4331.05,4329.2,4331.04,1315.485,0
2025-09-10 12:02:00,4331.05,4331.05,4329.02,4329.98,1012.058,0
2025-09-10 12:03:00,4329.99,4331.22,4329.75,4330.71,1393.56,0
2025-09-10 12:04:00,4330.71,4331.22,4330.69,4330.7,502.972,0
2025-09-10 12:05:00,4330.69,4331.73,4330.69,4331.66,2398.501,0
2025-09-10 12:06:00,4331.67,4331.72,4330.03,4330.04,2008.346,0
2025-09-10 12:07:00,4330.03,4330.18,4329.03,4330.18,1150.3,0
2025-09-10 12:08:00,4330.17,4331.5,4330.17,4331.09,1176.044,0
2025-09-10 12:09:00,4331.1,4334.47,4331.09,4333.91,3316.253,0
2025-09-10 12:10:00,4333.9,4334.77,4332.49,4332.71,3245.117,0
2025-09-10 12:11:00,4332.7,4333.0,4328.01,4328.01,1886.716,0
2025-09-10 12:12:00,4328.01,4329.82,4328.01,4329.25,1602.321,0
2025-09-10 12:13:00,4329.25,4333.63,4329.25,4333.05,1360.226,0
2025-09-10 12:14:00,4333.05,4333.68,4331.14,4331.67,3557.113,0
2025-09-10 12:15:00,4331.67,4333.13,4329.66,4330.74,1974.863,0
2025-09-10 12:16:00,4330.73,4333.95,4330.73,4331.01,1480.25,0
2025-09-10 12:17:00,4331.01,4332.97,4329.73,4332.97,1355.348,0
2025-09-10 12:18:00,4332.97,4338.46,4332.37,4334.95,8783.763,0
2025-09-10 12:19:00,4334.94,4336.26,4333.23,4334.27,3040.81,0
2025-09-10 12:20:00,4334.27,4335.12,4333.28,4334.51,1328.896,0
2025-09-10 12:21:00,4334.52,4339.3,4334.51,4338.33,9153.943,0
2025-09-10 12:22:00,4338.33,4349.12,4338.33,4341.4,20053.139,0
2025-09-10 12:23:00,4341.4,4346.34,4341.4,4342.74,4231.693,0
2025-09-10 12:24:00,4342.74,4345.72,4342.74,4342.74,3198.159,0
2025-09-10 12:25:00,4342.75,4343.39,4340.0,4340.5,2904.986,0
2025-09-10 12:26:00,4340.51,4340.92,4338.72,4338.73,2456.923,0
2025-09-10 12:27:00,4338.73,4340.97,4338.72,4340.29,2061.742,0
2025-09-10 12:28:00,4340.3,4345.24,4340.29,4344.43,2763.767,0
2025-09-10 12:29:00,4344.42,4345.83,4342.44,4343.22,3495.498,0
2025-09-10 12:30:00,4343.23,4377.0,4343.0,4376.3,104705.989,0
2025-09-10 12:31:00,4376.3,4395.0,4365.35,4376.95,90647.378,0
2025-09-10 12:32:00,4376.95,4387.67,4371.92,4382.18,44103.107,0
2025-09-10 12:33:00,4382.18,4385.0,4371.26,4371.26,19147.866,0
2025-09-10 12:34:00,4371.26,4376.34,4366.19,4375.67,26596.449,0
2025-09-10 12:35:00,4375.67,4387.17,4374.87,4381.23,25752.451,0
2025-09-10 12:36:00,4381.23,4385.61,4376.46,4380.52,15506.884,0
2025-09-10 12:37:00,4380.52,4381.85,4364.94,4365.85,18458.205,0
2025-09-10 12:38:00,4365.84,4371.84,4365.36,4370.45,9909.495,0
2025-09-10 12:39:00,4370.46,4372.19,4360.9,4363.82,13419.009,0
2025-09-10 12:40:00,4363.83,4370.87,4363.82,4368.6,12775.038,0
2025-09-10 12:41:00,4368.61,4370.75,4366.49,4369.28,5731.199,0
2025-09-10 12:42:00,4369.29,4372.32,4369.28,4371.22,4955.926,0
2025-09-10 12:43:00,4371.22,4374.51,4369.13,4372.12,5389.724,0
2025-09-10 12:44:00,4372.13,4377.47,4371.25,4377.47,5204.327,0
2025-09-10 12:45:00,4377.47,4381.84,4375.89,4375.89,11266.868,0
2025-09-10 12:46:00,4375.89,4375.9,4371.34,4371.34,9161.615,0
2025-09-10 12:47:00,4371.34,4376.3,4371.02,4373.06,4736.094,0
2025-09-10 12:48:00,4373.07,4374.42,4371.52,4371.52,3147.46,0
2025-09-10 12:49:00,4371.52,4371.53,4363.45,4363.46,10661.828,0
2025-09-10 12:50:00,4363.45,4368.68,4363.1,4365.05,8259.844,0
2025-09-10 12:51:00,4365.05,4366.31,4356.01,4358.66,17734.034,0
2025-09-10 12:52:00,4358.66,4361.92,4358.44,4361.36,4905.213,0
2025-09-10 12:53:00,4361.36,4365.74,4361.35,4365.29,7210.048,0
2025-09-10 12:54:00,4365.29,4366.0,4362.92,4365.0,2965.065,0
2025-09-10 12:55:00,4365.0,4367.5,4364.99,4366.8,4466.068,0
2025-09-10 12:56:00,4366.81,4366.81,4362.13,4363.05,5154.579,0
2025-09-10 12:57:00,4363.05,4364.85,4362.12,4364.11,1342.478,0
2025-09-10 12:58:00,4364.1,4365.0,4363.06,4364.9,2333.164,0
2025-09-10 12:59:00,4364.89,4369.27,4364.89,4369.27,4744.609,0
2025-09-10 13:00:00,4369.27,4372.27,4364.0,4365.52,15246.626,0
2025-09-10 13:01:00,4365.52,4371.88,4364.39,4366.82,4923.782,0
2025-09-10 13:02:00,4366.82,4369.27,4365.0,4368.85,4547.311,0
2025-09-10 13:03:00,4368.85,4372.0,4368.52,4368.53,4144.4,0
2025-09-10 13:04:00,4368.53,4372.39,4368.14,4371.64,2603.987,0
2025-09-10 13:05:00,4371.65,4376.0,4371.64,4372.93,6622.036,0
2025-09-10 13:06:00,4372.93,4378.99,4372.92,4377.76,7105.327,0
2025-09-10 13:07:00,4377.76,4385.22,4377.06,4380.7,15451.174,0
2025-09-10 13:08:00,4380.7,4384.38,4378.95,4384.37,5859.038,0
2025-09-10 13:09:00,4384.38,4392.0,4382.67,4388.68,20574.088,0
2025-09-10 13:10:00,4388.68,4390.92,4385.41,4385.42,10579.864,0
2025-09-10 13:11:00,4385.42,4389.5,4381.21,4382.5,9094.269,0
2025-09-10 13:12:00,4382.49,4383.85,4381.22,4381.71,4114.444,0
2025-09-10 13:13:00,4381.71,4382.0,4378.12,4381.51,5462.508,0
2025-09-10 13:14:00,4381.52,4383.3,4380.05,4383.3,2124.386,0
2025-09-10 13:15:00,4383.3,4390.35,4383.3,4385.85,10631.696,0
2025-09-10 13:16:00,4385.84,4387.96,4384.07,4384.74,4222.737,0
2025-09-10 13:17:00,4384.74,4385.93,4383.29,4383.29,3595.337,0
2025-09-10 13:18:00,4383.29,4384.0,4377.64,4380.69,7795.929,0
2025-09-10 13:19:00,4380.71,4381.6,4378.86,4378.99,3254.021,0
2025-09-10 13:20:00,4378.98,4382.01,4378.09,4378.1,3359.311,0
2025-09-10 13:21:00,4378.09,4379.08,4376.88,4377.64,3793.404,0
2025-09-10 13:22:00,4377.64,4378.19,4373.81,4376.23,6588.892,0
2025-09-10 13:23:00,4376.23,4376.51,4372.0,4373.13,5630.617,0
2025-09-10 13:24:00,4373.14,4373.14,4369.3,4371.72,9046.456,0
2025-09-10 13:25:00,4371.72,4374.11,4370.58,4371.92,3481.037,0
2025-09-10 13:26:00,4371.92,4371.92,4368.07,4368.65,3863.377,0
2025-09-10 13:27:00,4368.66,4370.49,4368.59,4368.9,2821.373,0
2025-09-10 13:28:00,4368.89,4369.63,4367.59,4369.63,3019.385,0
2025-09-10 13:29:00,4369.63,4369.96,4369.26,4369.94,1571.035,0
2025-09-10 13:30:00,4369.95,4370.37,4362.04,4362.13,9034.419,0
2025-09-10 13:31:00,4362.12,4363.73,4356.09,4361.54,10342.644,0
2025-09-10 13:32:00,4361.54,4364.1,4355.41,4358.21,9341.939,0
2025-09-10 13:33:00,4358.21,4364.45,4358.21,4363.21,6138.135,0
2025-09-10 13:34:00,4363.21,4367.8,4363.2,4364.71,4261.797,0
2025-09-10 13:35:00,4364.7,4370.59,4363.45,4365.63,4600.911,0
2025-09-10 13:36:00,4365.63,4368.88,4361.58,4362.69,4839.534,0
2025-09-10 13:37:00,4362.69,4370.16,4362.0,4368.46,5845.46,0
2025-09-10 13:38:00,4368.47,4377.0,4368.47,4375.0,8318.5,0
2025-09-10 13:39:00,4375.01,4379.3,4374.26,4378.34,4305.766,0
2025-09-10 13:40:00,4378.35,4381.64,4376.2,4378.15,4720.061,0
2025-09-10 13:41:00,4378.13,4380.0,4375.64,4376.96,2702.765,0
2025-09-10 13:42:00,4376.95,4381.0,4376.95,4380.4,4894.006,0
2025-09-10 13:43:00,4380.39,4386.6,4380.39,4384.74,14815.895,0
2025-09-10 13:44:00,4384.74,4387.99,4383.98,4386.06,8372.439,0
2025-09-10 13:45:00,4386.05,4399.0,4386.05,4392.73,36348.084,0
2025-09-10 13:46:00,4392.73,4415.0,4391.41,4408.52,49891.19,0
2025-09-10 13:47:00,4408.52,4421.38,4408.52,4417.71,33393.753,0
2025-09-10 13:48:00,4417.71,4440.0,4416.72,4429.23,51908.668,0
2025-09-10 13:49:00,4429.23,4434.39,4426.61,4429.45,24402.535,0
2025-09-10 13:50:00,4429.45,4430.1,4414.0,4418.37,31590.202,0
2025-09-10 13:51:00,4418.36,4419.41,4408.75,4413.35,30188.754,0
2025-09-10 13:52:00,4413.36,4419.49,4407.57,4412.36,16959.19,0
2025-09-10 13:53:00,4412.35,4413.97,4406.52,4412.83,16984.114,0
2025-09-10 13:54:00,4412.82,4414.17,4406.9,4407.67,7205.586,0
2025-09-10 13:55:00,4407.67,4417.19,4406.81,4413.56,7950.178,0
2025-09-10 13:56:00,4413.56,4416.54,4413.0,4413.03,3633.728,0
2025-09-10 13:57:00,4413.0,4422.0,4413.0,4418.28,7865.819,0
2025-09-10 13:58:00,4418.27,4418.62,4412.67,4415.98,3276.548,0
2025-09-10 13:59:00,4415.97,4419.57,4414.55,4416.72,3281.703,0
2025-09-10 14:00:00,4416.73,4426.3,4416.73,4425.52,14691.555,0
2025-09-10 14:01:00,4425.52,4429.39,4424.57,4424.58,9420.549,0
2025-09-10 14:02:00,4424.58,4428.0,4424.01,4426.8,6893.499,0
2025-09-10 14:03:00,4426.79,4429.71,4425.17,4426.41,9981.117,0
2025-09-10 14:04:00,4426.42,4427.66,4421.56,4424.51,9641.949,0
2025-09-10 14:05:00,4424.5,4431.63,4424.5,4427.03,8698.388,0
2025-09-10 14:06:00,4427.02,4433.67,4426.2,4433.67,7281.032,0
2025-09-10 14:07:00,4433.66,4453.56,4433.66,4446.99,51755.873,0
2025-09-10 14:08:00,4446.98,4450.0,4441.78,4442.5,18291.8,0
2025-09-10 14:09:00,4442.5,4445.82,4436.19,4437.22,14014.34,0
2025-09-10 14:10:00,4437.21,4440.0,4432.8,4437.57,9112.614,0
2025-09-10 14:11:00,4437.56,4437.56,4430.88,4431.61,9566.91,0
2025-09-10 14:12:00,4431.61,4436.49,4431.6,4433.19,4541.658,0
2025-09-10 14:13:00,4433.2,4433.41,4430.93,4432.99,5283.438,0
2025-09-10 14:14:00,4433.0,4434.38,4431.86,4434.38,3238.958,0
2025-09-10 14:15:00,4434.38,4443.18,4434.37,4439.26,10429.414,0
2025-09-10 14:16:00,4439.25,4442.96,4437.15,4439.71,5094.722,0
2025-09-10 14:17:00,4439.71,4442.99,4439.3,4440.03,4230.052,0
2025-09-10 14:18:00,4440.04,4441.0,4430.79,4430.8,5718.017,0
2025-09-10 14:19:00,4430.8,4431.31,4425.92,4430.99,8163.919,0
2025-09-10 14:20:00,4431.0,4437.3,4430.81,4431.82,7209.933,0
2025-09-10 14:21:00,4431.82,4435.99,4431.04,4433.0,5788.029,0
2025-09-10 14:22:00,4433.01,4437.5,4433.0,4437.17,2414.325,0
2025-09-10 14:23:00,4437.18,4441.23,4436.35,4437.01,4917.812,0
2025-09-10 14:24:00,4437.01,4438.4,4433.83,4438.09,2470.014,0
2025-09-10 14:25:00,4438.09,4438.19,4436.38,4436.72,3073.909,0
2025-09-10 14:26:00,4436.72,4437.31,4431.22,4431.22,4575.086,0
2025-09-10 14:27:00,4431.23,4435.23,4430.02,4432.87,3738.938,0
2025-09-10 14:28:00,4432.88,4434.69,4427.6,4427.97,5297.052,0
2025-09-10 14:29:00,4427.98,4428.91,4423.0,4423.0,4839.801,0
2025-09-10 14:30:00,4423.0,4429.73,4422.7,4425.96,6576.885,0
2025-09-10 14:31:00,4425.97,4431.0,4425.96,4428.01,3306.355,0
2025-09-10 14:32:00,4428.01,4429.35,4425.23,4425.41,3875.63,0
2025-09-10 14:33:00,4425.41,4425.41,4418.39,4419.0,7995.843,0
2025-09-10 14:34:00,4419.0,4419.4,4415.81,4416.83,8205.235,0
2025-09-10 14:35:00,4416.84,4421.21,4416.83,4421.19,5873.179,0
2025-09-10 14:36:00,4421.19,4423.98,4416.71,4417.92,5327.512,0
2025-09-10 14:37:00,4417.93,4420.35,4417.12,4418.12,3225.509,0
2025-09-10 14:38:00,4418.13,4420.8,4414.29,4414.77,4842.768,0
2025-09-10 14:39:00,4414.77,4415.64,4407.88,4411.03,17232.32,0
2025-09-10 14:40:00,4411.03,4420.0,4410.42,4418.39,9004.946,0
2025-09-10 14:41:00,4418.39,4420.0,4416.1,4419.78,4074.136,0
2025-09-10 14:42:00,4419.78,4419.78,4414.36,4414.96,2163.944,0
2025-09-10 14:43:00,4414.96,4419.2,4414.0,4416.91,3053.917,0
2025-09-10 14:44:00,4416.91,4419.19,4416.9,4418.88,1303.613,0
2025-09-10 14:45:00,4418.88,4420.55,4413.0,4413.89,2984.418,0
2025-09-10 14:46:00,4413.89,4415.73,4411.0,4411.15,4456.764,0
2025-09-10 14:47:00,4411.15,4412.01,4405.0,4407.21,15426.354,0
2025-09-10 14:48:00,4407.22,4411.43,4407.21,4410.32,5308.258,0
2025-09-10 14:49:00,4410.32,4412.0,4409.11,4409.31,3085.964,0
2025-09-10 14:50:00,4409.31,4415.74,4409.3,4410.36,4354.05,0
2025-09-10 14:51:00,4410.36,4411.13,4407.96,4408.61,3187.823,0
2025-09-10 14:52:00,4408.61,4410.63,4406.94,4407.01,2827.25,0
2025-09-10 14:53:00,4407.01,4408.81,4406.11,4408.1,3344.64,0
2025-09-10 14:54:00,4408.12,4409.15,4400.36,4403.28,13737.002,0
2025-09-10 14:55:00,4403.29,4408.61,4400.36,4407.37,8720.33,0
2025-09-10 14:56:00,4407.38,4408.38,4403.84,4404.21,2845.488,0
2025-09-10 14:57:00,4404.22,4405.5,4396.03,4397.08,11973.786,0
2025-09-10 14:58:00,4397.08,4400.97,4397.0,4399.28,7930.667,0
2025-09-10 14:59:00,4399.28,4401.94,4399.12,4399.42,4491.797,0
2025-09-10 15:00:00,4399.42,4406.67,4399.41,4406.42,6323.105,0
