datetime_utc,open,high,low,close,volume,num_trades
2025-06-12 12:15:00,2717.01,2719.0,2714.06,2717.14,13856.067,0
2025-06-12 12:16:00,2717.13,2719.5,2717.13,2718.41,3485.766,0
2025-06-12 12:17:00,2718.41,2720.98,2717.62,2718.81,6354.938,0
2025-06-12 12:18:00,2718.81,2722.78,2718.81,2720.82,6803.039,0
2025-06-12 12:19:00,2720.82,2722.99,2720.03,2721.57,6174.485,0
2025-06-12 12:20:00,2721.57,2722.0,2718.82,2718.82,3081.197,0
2025-06-12 12:21:00,2718.83,2721.63,2718.1,2721.36,3356.192,0
2025-06-12 12:22:00,2721.35,2724.79,2721.31,2724.47,7314.499,0
2025-06-12 12:23:00,2724.48,2725.45,2723.66,2725.03,5192.57,0
2025-06-12 12:24:00,2725.03,2725.49,2724.0,2724.0,4030.636,0
2025-06-12 12:25:00,2724.01,2725.1,2722.03,2724.82,2921.864,0
2025-06-12 12:26:00,2724.82,2725.87,2724.36,2725.47,3528.566,0
2025-06-12 12:27:00,2725.47,2725.48,2722.77,2723.71,2151.238,0
2025-06-12 12:28:00,2723.71,2724.76,2723.45,2723.96,2059.705,0
2025-06-12 12:29:00,2723.97,2724.25,2722.77,2723.62,2818.326,0
2025-06-12 12:30:00,2723.63,2731.86,2721.88,2729.96,23022.033,0
2025-06-12 12:31:00,2729.96,2738.72,2729.19,2736.06,21227.623,0
2025-06-12 12:32:00,2736.07,2739.0,2734.35,2737.73,10563.684,0
2025-06-12 12:33:00,2737.74,2737.99,2734.25,2735.36,6845.34,0
2025-06-12 12:34:00,2735.36,2737.99,2735.2,2737.25,4336.13,0
2025-06-12 12:35:00,2737.24,2737.72,2735.28,2735.67,4358.79,0
2025-06-12 12:36:00,2735.68,2743.44,2735.67,2742.84,13665.29,0
2025-06-12 12:37:00,2742.84,2744.82,2741.74,2743.78,11950.637,0
2025-06-12 12:38:00,2743.78,2744.87,2741.01,2741.17,10357.984,0
2025-06-12 12:39:00,2741.17,2742.74,2740.0,2741.21,6364.282,0
2025-06-12 12:40:00,2741.21,2744.53,2739.08,2739.62,11110.905,0
2025-06-12 12:41:00,2739.62,2742.65,2737.57,2741.9,9567.238,0
2025-06-12 12:42:00,2741.78,2744.51,2741.76,2742.86,12578.685,0
2025-06-12 12:43:00,2742.86,2744.66,2742.05,2742.77,4909.172,0
2025-06-12 12:44:00,2742.77,2744.24,2740.62,2742.7,4691.509,0
2025-06-12 12:45:00,2742.7,2743.3,2739.74,2739.74,3945.059,0
2025-06-12 12:46:00,2739.72,2740.51,2737.36,2737.68,6011.203,0
2025-06-12 12:47:00,2737.68,2738.97,2736.37,2738.28,3819.602,0
2025-06-12 12:48:00,2738.28,2741.92,2738.17,2739.74,4180.408,0
2025-06-12 12:49:00,2739.74,2739.75,2737.6,2739.2,2789.862,0
2025-06-12 12:50:00,2739.19,2739.2,2736.3,2737.97,3697.776,0
2025-06-12 12:51:00,2737.96,2738.11,2734.27,2734.47,3757.889,0
2025-06-12 12:52:00,2734.46,2736.2,2733.4,2735.82,4126.495,0
2025-06-12 12:53:00,2735.82,2737.8,2734.91,2734.91,2662.873,0
2025-06-12 12:54:00,2734.91,2735.46,2732.6,2733.17,5149.644,0
2025-06-12 12:55:00,2733.16,2736.47,2732.59,2734.98,3963.908,0
2025-06-12 12:56:00,2734.99,2735.09,2730.85,2731.38,4359.105,0
2025-06-12 12:57:00,2731.39,2734.14,2730.2,2732.6,4060.371,0
2025-06-12 12:58:00,2732.61,2735.14,2732.12,2735.14,1518.18,0
2025-06-12 12:59:00,2735.14,2737.37,2734.87,2735.43,3738.655,0
2025-06-12 13:00:00,2735.44,2737.0,2735.04,2736.74,3185.552,0
2025-06-12 13:01:00,2736.73,2737.39,2732.84,2732.84,2798.448,0
2025-06-12 13:02:00,2732.84,2738.45,2732.38,2736.29,4741.364,0
2025-06-12 13:03:00,2736.3,2741.19,2735.94,2740.2,9812.458,0
2025-06-12 13:04:00,2740.2,2742.57,2740.02,2741.51,4535.954,0
2025-06-12 13:05:00,2741.51,2742.19,2738.78,2740.79,4062.79,0
2025-06-12 13:06:00,2740.79,2741.39,2737.26,2739.69,4160.466,0
2025-06-12 13:07:00,2739.68,2742.83,2739.68,2742.48,5973.561,0
2025-06-12 13:08:00,2742.49,2744.86,2741.64,2744.2,4844.579,0
2025-06-12 13:09:00,2744.2,2745.89,2742.06,2742.78,5902.56,0
2025-06-12 13:10:00,2742.79,2743.82,2742.02,2742.99,2261.469,0
2025-06-12 13:11:00,2743.0,2746.8,2742.66,2744.21,3762.436,0
2025-06-12 13:12:00,2744.21,2744.37,2742.12,2743.23,1995.894,0
2025-06-12 13:13:00,2743.24,2744.45,2742.18,2742.18,1720.87,0
2025-06-12 13:14:00,2742.18,2743.56,2741.02,2741.38,1640.926,0
2025-06-12 13:15:00,2741.39,2741.95,2740.37,2741.56,1937.076,0
2025-06-12 13:16:00,2741.55,2743.65,2740.49,2741.66,2875.757,0
2025-06-12 13:17:00,2741.67,2745.13,2739.7,2744.47,4518.787,0
2025-06-12 13:18:00,2744.46,2746.0,2744.06,2745.24,3134.09,0
2025-06-12 13:19:00,2745.25,2747.67,2744.33,2745.38,3805.541,0
2025-06-12 13:20:00,2745.38,2746.46,2743.22,2743.72,2658.206,0
2025-06-12 13:21:00,2743.73,2744.88,2740.93,2740.93,1810.248,0
2025-06-12 13:22:00,2740.94,2741.48,2739.52,2739.52,3558.485,0
2025-06-12 13:23:00,2739.52,2739.53,2736.01,2736.38,4388.997,0
2025-06-12 13:24:00,2736.38,2737.75,2736.1,2737.08,2399.639,0
2025-06-12 13:25:00,2737.05,2737.05,2734.54,2735.23,5725.272,0
2025-06-12 13:26:00,2735.23,2737.59,2733.81,2733.81,4836.599,0
2025-06-12 13:27:00,2733.81,2735.37,2732.91,2735.11,7930.723,0
2025-06-12 13:28:00,2735.12,2737.9,2733.79,2736.07,5657.638,0
2025-06-12 13:29:00,2736.07,2739.31,2735.6,2737.66,5064.841,0
2025-06-12 13:30:00,2737.67,2738.34,2734.91,2736.74,4562.558,0
2025-06-12 13:31:00,2736.75,2738.96,2734.64,2738.69,3150.263,0
2025-06-12 13:32:00,2738.68,2738.94,2731.04,2731.72,5787.098,0
2025-06-12 13:33:00,2731.71,2745.51,2731.0,2745.17,12551.148,0
2025-06-12 13:34:00,2745.16,2746.82,2741.46,2743.79,7199.161,0
2025-06-12 13:35:00,2743.79,2746.6,2742.11,2744.91,9904.484,0
2025-06-12 13:36:00,2744.91,2747.65,2743.07,2745.55,6486.421,0
2025-06-12 13:37:00,2745.55,2748.68,2745.47,2747.03,8203.395,0
2025-06-12 13:38:00,2747.03,2750.87,2744.8,2748.0,20303.146,0
2025-06-12 13:39:00,2747.97,2750.87,2747.31,2750.03,8472.476,0
2025-06-12 13:40:00,2750.02,2752.27,2748.28,2751.66,10420.631,0
2025-06-12 13:41:00,2751.66,2752.45,2748.55,2751.99,6025.038,0
2025-06-12 13:42:00,2751.99,2753.79,2749.47,2749.98,6027.461,0
2025-06-12 13:43:00,2749.98,2753.5,2748.23,2751.87,6696.692,0
2025-06-12 13:44:00,2751.87,2751.95,2748.9,2749.99,3934.9,0
2025-06-12 13:45:00,2749.99,2751.0,2746.48,2747.3,5422.25,0
2025-06-12 13:46:00,2747.29,2748.88,2746.02,2746.33,3837.216,0
2025-06-12 13:47:00,2746.33,2748.43,2745.5,2747.09,3175.991,0
2025-06-12 13:48:00,2747.1,2747.36,2745.01,2745.33,2939.755,0
2025-06-12 13:49:00,2745.33,2747.87,2743.73,2746.47,4716.192,0
2025-06-12 13:50:00,2746.48,2747.78,2743.62,2745.78,2219.612,0
2025-06-12 13:51:00,2745.78,2750.93,2744.15,2750.82,6692.147,0
2025-06-12 13:52:00,2750.81,2753.54,2750.81,2751.68,5905.84,0
2025-06-12 13:53:00,2751.69,2752.35,2747.21,2747.22,4677.238,0
2025-06-12 13:54:00,2747.22,2748.85,2746.84,2747.27,2218.677,0
2025-06-12 13:55:00,2747.27,2748.2,2741.0,2741.53,4498.294,0
2025-06-12 13:56:00,2741.54,2744.76,2741.35,2744.76,3174.597,0
2025-06-12 13:57:00,2744.75,2745.32,2742.78,2743.5,1810.731,0
2025-06-12 13:58:00,2743.5,2745.44,2742.2,2745.3,2027.576,0
2025-06-12 13:59:00,2745.29,2748.77,2745.29,2748.42,2305.913,0
2025-06-12 14:00:00,2748.43,2750.85,2748.2,2750.24,5245.402,0
2025-06-12 14:01:00,2750.24,2751.75,2749.41,2750.35,3840.952,0
2025-06-12 14:02:00,2750.36,2752.62,2750.29,2751.12,3582.575,0
2025-06-12 14:03:00,2751.11,2752.45,2749.51,2750.13,4933.926,0
2025-06-12 14:04:00,2750.12,2750.25,2748.8,2749.28,3132.184,0
