datetime_utc,open,high,low,close,volume,num_trades
2025-05-15 09:30:00,2549.55,2551.13,2545.01,2547.21,5588.371,0
2025-05-15 09:31:00,2547.21,2548.5,2543.74,2544.45,3064.554,0
2025-05-15 09:32:00,2544.44,2544.65,2532.0,2537.55,29611.349,0
2025-05-15 09:33:00,2537.55,2538.71,2535.13,2538.1,8336.225,0
2025-05-15 09:34:00,2538.1,2540.33,2537.08,2540.25,4440.084,0
2025-05-15 09:35:00,2540.25,2540.26,2534.17,2536.12,7634.621,0
2025-05-15 09:36:00,2536.1,2539.17,2536.1,2538.95,1953.91,0
2025-05-15 09:37:00,2538.95,2539.0,2537.1,2539.0,2059.992,0
2025-05-15 09:38:00,2539.0,2542.6,2538.99,2541.9,5095.909,0
2025-05-15 09:39:00,2541.9,2542.0,2534.87,2537.09,9393.117,0
2025-05-15 09:40:00,2537.09,2537.95,2535.19,2535.89,4898.59,0
2025-05-15 09:41:00,2535.89,2538.08,2535.89,2537.07,1930.448,0
2025-05-15 09:42:00,2537.07,2537.83,2534.5,2536.02,2117.172,0
2025-05-15 09:43:00,2536.01,2539.91,2535.74,2539.55,2873.971,0
2025-05-15 09:44:00,2539.54,2539.58,2534.09,2536.2,2546.071,0
2025-05-15 09:45:00,2536.2,2536.2,2528.1,2529.34,12412.684,0
2025-05-15 09:46:00,2529.34,2530.19,2525.94,2528.7,11917.223,0
2025-05-15 09:47:00,2528.7,2528.92,2522.79,2525.29,16553.556,0
2025-05-15 09:48:00,2525.3,2527.97,2522.43,2523.82,8212.276,0
2025-05-15 09:49:00,2523.83,2524.0,2521.01,2522.42,6565.805,0
2025-05-15 09:50:00,2522.42,2528.16,2521.35,2527.67,7915.655,0
2025-05-15 09:51:00,2527.66,2533.92,2527.52,2533.91,6512.598,0
2025-05-15 09:52:00,2533.9,2537.11,2533.54,2536.97,6315.486,0
2025-05-15 09:53:00,2536.97,2542.92,2536.3,2539.64,16427.617,0
2025-05-15 09:54:00,2539.64,2540.28,2537.03,2537.66,3943.886,0
2025-05-15 09:55:00,2537.67,2541.53,2537.67,2540.34,2974.696,0
2025-05-15 09:56:00,2540.34,2540.35,2538.0,2539.12,3402.117,0
