event,event_utc,event_open,win_high,high_time,win_low,low_time,range_abs,range_pct,high_vs_evopen_%,low_vs_evopen_%
FOMC_May,2025-05-07 18:00,1795.27,1816.55,18:34,1787.5,17:53,29.05,1.63,1.19,-0.43
FOMC_Jun,2025-06-18 18:00,2495.33,2520.09,18:00,2470.0,19:00,50.09,2.03,0.99,-1.02
FOMC_Jul,2025-07-30 18:00,3803.62,3821.36,18:00,3725.07,19:00,96.29,2.58,0.47,-2.07
FOMC_Sep,2025-09-17 18:00,4426.0,4532.16,17:43,4404.08,18:00,128.08,2.91,2.4,-0.5
FOMC_Oct,2025-10-29 18:00,4012.63,4017.11,18:03,3836.0,18:42,181.11,4.72,0.11,-4.4
FOMC_Dec,2025-12-10 19:00,3380.0,3436.95,19:00,3341.0,19:03,95.95,2.87,1.68,-1.15
