event_name,tp_pct,sl_pct,long_exit_reason,short_exit_reason,first_side_to_hit,long_pnl_pct,short_pnl_pct,combined_pnl_pct,combined_pnl_pct_after_fees,long_mfe_pct,long_mae_pct,short_mfe_pct,short_mae_pct,ambiguous_bar,event_type
FOMC_Press_Conference_Jan,3.0,1.0,tp,sl,long,3.0,-1.0,2.0,2.0,3.548243,-0.456165,0.456165,-1.357736,False,FOMC_PRESS_CONFERENCE
FOMC_Press_Conference_Jan,3.0,1.5,tp,sl,long,3.0,-1.5,1.5,1.5,3.548243,-0.456165,0.456165,-2.66428,False,FOMC_PRESS_CONFERENCE
FOMC_Press_Conference_Jan,3.0,2.0,tp,sl,long,3.0,-2.0,1.0,1.0,3.548243,-0.456165,0.456165,-2.66428,False,FOMC_PRESS_CONFERENCE
CPI_Jan2025,0.5,0.5,tp,sl,long,0.5,-0.5,0.0,0.0,0.585147,-0.000378,0.000378,-0.585147,False,CPI
CPI_Jan2025,0.5,1.0,tp,tp,long,0.5,0.5,1.0,1.0,0.585147,-0.000378,2.339831,-0.725385,False,CPI
CPI_Jan2025,0.5,1.5,tp,tp,long,0.5,0.5,1.0,1.0,0.585147,-0.000378,2.339831,-0.725385,False,CPI
CPI_Jan2025,0.5,2.0,tp,tp,long,0.5,0.5,1.0,1.0,0.585147,-0.000378,2.339831,-0.725385,False,CPI
CPI_Jan2025,1.0,0.5,sl,sl,short,-0.5,-0.5,-1.0,-1.0,0.725385,-2.339831,0.000378,-0.585147,False,CPI
CPI_Jan2025,1.0,1.0,sl,tp,short,-1.0,1.0,0.0,0.0,0.725385,-2.339831,2.339831,-0.725385,False,CPI
CPI_Jan2025,1.0,1.5,sl,tp,short,-1.5,1.0,-0.5,-0.5,0.725385,-2.339831,2.339831,-0.725385,False,CPI
CPI_Jan2025,1.0,2.0,sl,tp,short,-2.0,1.0,-1.0,-1.0,0.725385,-2.339831,2.339831,-0.725385,False,CPI
CPI_Jan2025,1.5,0.5,sl,sl,short,-0.5,-0.5,-1.0,-1.0,0.725385,-2.339831,0.000378,-0.585147,False,CPI
CPI_Jan2025,1.5,1.0,sl,tp,short,-1.0,1.5,0.5,0.5,0.725385,-2.339831,2.339831,-0.725385,False,CPI
CPI_Jan2025,1.5,1.5,sl,tp,short,-1.5,1.5,0.0,0.0,0.725385,-2.339831,2.339831,-0.725385,False,CPI
CPI_Jan2025,1.5,2.0,sl,tp,short,-2.0,1.5,-0.5,-0.5,0.725385,-2.339831,2.339831,-0.725385,False,CPI
CPI_Jan2025,2.0,0.5,sl,sl,short,-0.5,-0.5,-1.0,-1.0,0.725385,-2.339831,0.000378,-0.585147,False,CPI
CPI_Jan2025,2.0,1.0,sl,tp,short,-1.0,2.0,1.0,1.0,0.725385,-2.339831,2.339831,-0.725385,False,CPI
CPI_Jan2025,2.0,1.5,sl,tp,short,-1.5,2.0,0.5,0.5,0.725385,-2.339831,2.339831,-0.725385,False,CPI
CPI_Jan2025,2.0,2.0,sl,tp,short,-2.0,2.0,0.0,0.0,0.725385,-2.339831,2.339831,-0.725385,False,CPI
CPI_Jan2025,3.0,0.5,sl,sl,short,-0.5,-0.5,-1.0,-1.0,0.725385,-2.339831,0.000378,-0.585147,False,CPI
CPI_Jan2025,3.0,1.0,sl,tp,short,-1.0,3.0,2.0,2.0,0.725385,-2.339831,3.41449,-0.725385,False,CPI
CPI_Jan2025,3.0,1.5,sl,tp,short,-1.5,3.0,1.5,1.5,0.725385,-2.339831,3.41449,-0.725385,False,CPI
CPI_Jan2025,3.0,2.0,sl,tp,short,-2.0,3.0,1.0,1.0,0.725385,-2.339831,3.41449,-0.725385,False,CPI
CPI_Feb2025,0.5,0.5,tp,sl,long,0.5,-0.5,0.0,0.0,0.797137,-0.227231,0.227231,-0.797137,False,CPI
CPI_Feb2025,0.5,1.0,tp,sl,long,0.5,-1.0,-0.5,-0.5,0.797137,-0.227231,0.227231,-1.653303,False,CPI
CPI_Feb2025,0.5,1.5,tp,sl,long,0.5,-1.5,-1.0,-1.0,0.797137,-0.227231,0.227231,-1.653303,False,CPI
CPI_Feb2025,0.5,2.0,tp,tp,long,0.5,0.5,1.0,1.0,0.797137,-0.227231,0.715125,-1.653303,False,CPI
CPI_Feb2025,1.0,0.5,tp,sl,long,1.0,-0.5,0.5,0.5,1.653303,-0.227231,0.227231,-0.797137,False,CPI
CPI_Feb2025,1.0,1.0,tp,sl,long,1.0,-1.0,0.0,0.0,1.653303,-0.227231,0.227231,-1.653303,False,CPI
CPI_Feb2025,1.0,1.5,tp,sl,long,1.0,-1.5,-0.5,-0.5,1.653303,-0.227231,0.227231,-1.653303,False,CPI
CPI_Feb2025,1.0,2.0,tp,tp,long,1.0,1.0,2.0,2.0,1.653303,-0.227231,1.270927,-1.653303,False,CPI
CPI_Feb2025,1.5,0.5,tp,sl,long,1.5,-0.5,1.0,1.0,1.653303,-0.227231,0.227231,-0.797137,False,CPI
CPI_Feb2025,1.5,1.0,tp,sl,long,1.5,-1.0,0.5,0.5,1.653303,-0.227231,0.227231,-1.653303,False,CPI
CPI_Feb2025,1.5,1.5,tp,sl,long,1.5,-1.5,0.0,0.0,1.653303,-0.227231,0.227231,-1.653303,False,CPI
CPI_Feb2025,1.5,2.0,tp,tp,long,1.5,1.5,3.0,3.0,1.653303,-0.227231,1.583305,-1.653303,False,CPI
CPI_Feb2025,2.0,0.5,sl,sl,short,-0.5,-0.5,-1.0,-1.0,1.653303,-0.715125,0.227231,-0.797137,False,CPI
CPI_Feb2025,2.0,1.0,sl,sl,short,-1.0,-1.0,-2.0,-2.0,1.653303,-1.270927,0.227231,-1.653303,False,CPI
CPI_Feb2025,2.0,1.5,sl,sl,short,-1.5,-1.5,-3.0,-3.0,1.653303,-1.583305,0.227231,-1.653303,False,CPI
CPI_Feb2025,2.0,2.0,sl,tp,short,-2.0,2.0,0.0,0.0,1.653303,-2.079035,2.079035,-1.653303,False,CPI
CPI_Feb2025,3.0,0.5,sl,sl,none,-0.5,-0.5,-1.0,-1.0,1.653303,-0.715125,0.227231,-0.797137,False,CPI
CPI_Feb2025,3.0,1.0,sl,sl,none,-1.0,-1.0,-2.0,-2.0,1.653303,-1.270927,0.227231,-1.653303,False,CPI
CPI_Feb2025,3.0,1.5,sl,sl,none,-1.5,-1.5,-3.0,-3.0,1.653303,-1.583305,0.227231,-1.653303,False,CPI
CPI_Feb2025,3.0,2.0,sl,timeout,none,-2.0,1.919712,-0.080288,-0.080288,1.653303,-2.079035,2.107765,-1.653303,False,CPI
FOMC_Press_Conference_Mar,0.5,0.5,tp,sl,long,0.5,-0.5,0.0,0.0,0.676824,-0.496008,0.496008,-0.676824,False,FOMC_PRESS_CONFERENCE
