split,variant,trade_number,event_name,event_type,event_pnl_pct,equity_unscaled,equity_10pct_acct,rolling_peak_unscaled,drawdown_unscaled_pct,drawdown_10pct_acct_pct
full_year,C_momentum_60,6,CPI_Mar2025,CPI,-1.552,1.030774,1.003124,1.062038,-2.9437,-0.2961
full_year,C_momentum_60,7,FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,0.3816,1.034707,1.003507,1.062038,-2.9437,-0.2961
full_year,C_momentum_60,8,CPI_Apr2025,CPI,1.1856,1.046975,1.004697,1.062038,-2.9437,-0.2961
full_year,C_momentum_60,9,CPI_May2025,CPI,0.5884,1.053136,1.005288,1.062038,-2.9437,-0.2961
full_year,C_momentum_60,10,FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,0.1015,1.054205,1.00539,1.062038,-2.9437,-0.2961
full_year,C_momentum_60,11,CPI_Jun2025,CPI,1.07,1.065484,1.006466,1.065484,-2.9437,-0.2961
full_year,C_momentum_60,12,FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,2.0461,1.087285,1.008525,1.087285,-2.9437,-0.2961
full_year,C_momentum_60,13,CPI_Jul2025,CPI,1.5816,1.104481,1.01012,1.104481,-2.9437,-0.2961
full_year,C_momentum_60,14,Powell_Jackson_Hole,JACKSON_HOLE,5.5836,1.166151,1.01576,1.166151,-2.9437,-0.2961
full_year,C_momentum_60,15,CPI_Aug2025,CPI,-0.5468,1.159774,1.015205,1.166151,-2.9437,-0.2961
full_year,C_momentum_60,16,FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,-0.3043,1.156244,1.014896,1.166151,-2.9437,-0.2961
full_year,C_momentum_60,17,CPI_Sep2025_Delayed,CPI,-0.7386,1.147704,1.014146,1.166151,-2.9437,-0.2961
full_year,C_momentum_60,18,FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,1.5883,1.165933,1.015757,1.166151,-2.9437,-0.2961
full_year,C_momentum_60,19,FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,0.7386,1.174545,1.016507,1.174545,-2.9437,-0.2961
full_year,C_momentum_60,20,CPI_Nov2025_Delayed,CPI,2.1601,1.199916,1.018703,1.199916,-2.9437,-0.2961
full_year,D_straddle_TP1.5_SL1.0,1,CPI_Dec2024,CPI,0.25,1.0025,1.00025,1.0025,0.0,0.0
