split,variant,trade_number,event_name,event_type,event_pnl_pct,equity_unscaled,equity_10pct_acct,rolling_peak_unscaled,drawdown_unscaled_pct,drawdown_10pct_acct_pct
post_may,C_momentum_60,12,FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,1.5883,1.131123,1.012593,1.131335,-1.5819,-0.1589
post_may,C_momentum_60,13,FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,0.7386,1.139478,1.013341,1.139478,-1.5819,-0.1589
post_may,C_momentum_60,14,CPI_Nov2025_Delayed,CPI,2.1601,1.164091,1.01553,1.164091,-1.5819,-0.1589
post_may,D_straddle_TP1.5_SL1.0,1,FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,0.0,1.0,1.0,1.0,0.0,0.0
post_may,D_straddle_TP1.5_SL1.0,2,CPI_Apr2025,CPI,0.25,1.0025,1.00025,1.0025,0.0,0.0
post_may,D_straddle_TP1.5_SL1.0,3,CPI_May2025,CPI,0.25,1.005006,1.0005,1.005006,0.0,0.0
post_may,D_straddle_TP1.5_SL1.0,4,FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,0.0,1.005006,1.0005,1.005006,0.0,0.0
post_may,D_straddle_TP1.5_SL1.0,5,CPI_Jun2025,CPI,0.25,1.007519,1.00075,1.007519,0.0,0.0
post_may,D_straddle_TP1.5_SL1.0,6,FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,0.25,1.010038,1.001,1.010038,0.0,0.0
post_may,D_straddle_TP1.5_SL1.0,7,CPI_Jul2025,CPI,0.25,1.012563,1.001251,1.012563,0.0,0.0
post_may,D_straddle_TP1.5_SL1.0,8,Powell_Jackson_Hole,JACKSON_HOLE,0.25,1.015094,1.001501,1.015094,0.0,0.0
post_may,D_straddle_TP1.5_SL1.0,9,CPI_Aug2025,CPI,0.25,1.017632,1.001751,1.017632,0.0,0.0
post_may,D_straddle_TP1.5_SL1.0,10,FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,-1.0,1.007455,1.00075,1.017632,-1.0,-0.1
post_may,D_straddle_TP1.5_SL1.0,11,CPI_Sep2025_Delayed,CPI,0.25,1.009974,1.001,1.017632,-1.0,-0.1
post_may,D_straddle_TP1.5_SL1.0,12,FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,0.25,1.012499,1.00125,1.017632,-1.0,-0.1
post_may,D_straddle_TP1.5_SL1.0,13,FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,0.25,1.01503,1.0015,1.017632,-1.0,-0.1
post_may,D_straddle_TP1.5_SL1.0,14,CPI_Nov2025_Delayed,CPI,0.25,1.017568,1.001751,1.017632,-1.0,-0.1
post_may,E_best_straddle,1,FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,-0.5,0.995,0.9995,1.0,-0.5,-0.05
post_may,E_best_straddle,2,CPI_Apr2025,CPI,0.7344,1.002308,1.000234,1.002308,-0.5,-0.05
post_may,E_best_straddle,3,CPI_May2025,CPI,0.9835,1.012166,1.001218,1.012166,-0.5,-0.05
post_may,E_best_straddle,4,FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,-0.5,1.007105,1.000717,1.012166,-0.5,-0.05
post_may,E_best_straddle,5,CPI_Jun2025,CPI,1.25,1.019694,1.001968,1.019694,-0.5,-0.05
post_may,E_best_straddle,6,FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,1.25,1.03244,1.003221,1.03244,-0.5,-0.05
post_may,E_best_straddle,7,CPI_Jul2025,CPI,1.25,1.045345,1.004475,1.045345,-0.5,-0.05
post_may,E_best_straddle,8,Powell_Jackson_Hole,JACKSON_HOLE,-0.5,1.040118,1.003972,1.045345,-0.5,-0.05
post_may,E_best_straddle,9,CPI_Aug2025,CPI,-0.5,1.034918,1.00347,1.045345,-0.9975,-0.1
post_may,E_best_straddle,10,FOMC_Press_Conference_Sep,FOMC_PRESS_CONFERENCE,-0.5,1.029743,1.002969,1.045345,-1.4925,-0.1499
post_may,E_best_straddle,11,CPI_Sep2025_Delayed,CPI,-0.5,1.024595,1.002467,1.045345,-1.985,-0.1999
post_may,E_best_straddle,12,FOMC_Press_Conference_Oct,FOMC_PRESS_CONFERENCE,1.25,1.037402,1.00372,1.045345,-1.985,-0.1999
post_may,E_best_straddle,13,FOMC_Press_Conference_Dec,FOMC_PRESS_CONFERENCE,-0.5,1.032215,1.003218,1.045345,-1.985,-0.1999
post_may,E_best_straddle,14,CPI_Nov2025_Delayed,CPI,1.25,1.045118,1.004472,1.045345,-1.985,-0.1999
