split,variant,total_return_unscaled_pct,max_drawdown_unscaled_pct,total_return_10pct_acct_pct,max_drawdown_10pct_acct_pct,n,mean,median,win_rate,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser
pre_may,pre_long_15,2.3111,-1.9713,0.2342,-0.1971,6,0.3909,0.1853,0.6667,FOMC_Press_Conference_Jan,2.1775,CPI_Jan2025,-1.9713,0.0336,0.8634
pre_may,pre_long_30,4.0327,-1.9229,0.4036,-0.1923,6,0.6727,0.8763,0.6667,CPI_Dec2024,2.7599,CPI_Jan2025,-1.9229,0.2553,1.1918
pre_may,pre_long_60,1.3911,-3.9936,0.1492,-0.4026,6,0.2505,-0.2058,0.3333,FOMC_Press_Conference_Jan,3.0849,CPI_Jan2025,-2.88,-0.3163,0.8767
pre_may,pre_long_120,1.9988,-4.7623,0.2147,-0.4815,6,0.3606,-0.4763,0.5,CPI_Dec2024,4.3242,CPI_Feb2025,-1.9688,-0.4322,0.8264
pre_may,pre_short_15,-2.3783,-4.0056,-0.2349,-0.4042,6,-0.3909,-0.1853,0.3333,CPI_Jan2025,1.9713,FOMC_Press_Conference_Jan,-2.1775,-0.8634,-0.0336
pre_may,pre_short_30,-4.0368,-4.6055,-0.4037,-0.4653,6,-0.6727,-0.8763,0.3333,CPI_Jan2025,1.9229,CPI_Dec2024,-2.7599,-1.1918,-0.2553
pre_may,pre_short_60,-1.6132,-5.4576,-0.1514,-0.5526,6,-0.2505,0.2058,0.6667,CPI_Jan2025,2.88,FOMC_Press_Conference_Jan,-3.0849,-0.8767,0.3163
pre_may,pre_short_120,-2.3254,-6.8692,-0.218,-0.6973,6,-0.3606,0.4763,0.5,CPI_Feb2025,1.9688,CPI_Dec2024,-4.3242,-0.8264,0.4322
pre_may,momentum_5,0.4634,-1.107,0.0473,-0.1109,6,0.079,0.1703,0.6667,CPI_Jan2025,1.1426,CPI_Mar2025,-0.8506,-0.1338,0.2649
pre_may,momentum_15,1.7036,-1.8651,0.1734,-0.1869,6,0.2896,0.399,0.6667,FOMC_Press_Conference_Jan,2.5817,CPI_Mar2025,-1.1617,-0.1688,0.5799
pre_may,momentum_30,3.3125,-1.4487,0.3305,-0.1449,6,0.5506,1.0631,0.6667,FOMC_Press_Conference_Jan,1.5179,CPI_Mar2025,-1.4487,0.3572,0.9505
pre_may,momentum_60,3.0774,-2.9437,0.3124,-0.2961,6,0.5216,0.5257,0.6667,FOMC_Press_Conference_Jan,3.0595,CPI_Feb2025,-1.6089,0.014,0.9477
